INFO 2024-12-25 18:06:52,513 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-25 18:06:52,514 autoreload Waiting for apps ready_event.
DEBUG 2024-12-25 18:06:52,517 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-25 18:06:52,522 autoreload Watching dir /home/vickie/PycharmProjects/TelegramAuth/telegram_auth_project/myapp/templates with glob **/*.
DEBUG 2024-12-25 18:06:52,523 autoreload Watching dir /home/vickie/PycharmProjects/TelegramAuth/telegram_auth_project/locale with glob **/*.mo.
DEBUG 2024-12-25 18:06:52,523 autoreload Watching dir /home/vickie/PycharmProjects/TelegramAuth/telegram_auth_project/myapp/locale with glob **/*.mo.
DEBUG 2024-12-25 18:06:52,534 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-25 18:06:52,536 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1735137233.6598806
DEBUG 2024-12-25 18:06:52,552 autoreload File /usr/lib/python3.10/bisect.py first seen with mtime 1730924533.0
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/db/models/signals.py first seen with mtime 1735137233.7418792
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/utils/timezone.py first seen with mtime 1735137233.761879
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/core/checks/security/sessions.py first seen with mtime 1735137233.7248795
DEBUG 2024-12-25 18:06:52,552 autoreload File /usr/lib/python3.10/subprocess.py first seen with mtime 1730924533.0
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1735137233.7368793
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/db/models/fields/related.py first seen with mtime 1735137233.7428794
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/views/generic/__init__.py first seen with mtime 1735137233.763879
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/template/loader_tags.py first seen with mtime 1735137233.7558792
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/utils/autoreload.py first seen with mtime 1735137233.758879
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/core/handlers/exception.py first seen with mtime 1735137233.7268796
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/db/models/expressions.py first seen with mtime 1735137233.7408793
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/db/backends/base/schema.py first seen with mtime 1735137233.7328794
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1735137233.582882
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/db/models/functions/mixins.py first seen with mtime 1735137233.7438793
DEBUG 2024-12-25 18:06:52,552 autoreload File /usr/lib/python3.10/asyncio/streams.py first seen with mtime 1730924533.0
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/db/models/deletion.py first seen with mtime 1735137233.7408793
DEBUG 2024-12-25 18:06:52,552 autoreload File /home/vickie/PycharmProjects/TelegramAuth/.venv/lib/python3.10/site-packages/django/core/files/storage/__init__.py first seen with mtime 1735137233.7258797
